airline,flight_number,departure_city,destination_city,departure_time,arrival_time,duration
Lufthansa,LH 149,"Brussels, Belgium","Milan, Italy",14:30,16:30,2h 0m
Lufthansa,LH 895,"Brussels, Belgium","Milan, Italy",22:30,00:30,2h 0m
KLM,KL 734,"Brussels, Belgium","Milan, Italy",06:30,08:30,2h 0m
Ryanair,FR 304,"Brussels, Belgium","Milan, Italy",17:30,19:30,2h 0m
KLM,KL 242,"Brussels, Belgium","Barcelona, Spain",06:15,08:15,2h 0m
KLM,KL 762,"Brussels, Belgium","Barcelona, Spain",08:30,10:30,2h 0m
Ryanair,FR 681,"Brussels, Belgium","Barcelona, Spain",15:00,17:00,2h 0m
Ryanair,FR 993,"Brussels, Belgium","Barcelona, Spain",12:45,14:45,2h 0m
British Airways,BA 742,"Brussels, Belgium","Madrid, Spain",15:00,17:00,2h 0m
British Airways,BA 231,"Brussels, Belgium","Madrid, Spain",18:45,20:45,2h 0m
Lufthansa,LH 378,"Brussels, Belgium","Madrid, Spain",20:30,22:30,2h 0m
Lufthansa,LH 765,"Brussels, Belgium","Madrid, Spain",07:00,09:00,2h 0m
British Airways,BA 779,"Brussels, Belgium","Lisbon, Portugal",10:00,12:00,2h 0m
Ryanair,FR 138,"Brussels, Belgium","Lisbon, Portugal",20:15,22:15,2h 0m
Ryanair,FR 975,"Brussels, Belgium","Lisbon, Portugal",18:00,20:00,2h 0m
EasyJet,U2 824,"Brussels, Belgium","Lisbon, Portugal",09:45,11:45,2h 0m
Ryanair,FR 264,"Brussels, Belgium","Zurich, Switzerland",19:15,21:15,2h 0m
EasyJet,U2 947,"Brussels, Belgium","Zurich, Switzerland",21:15,23:15,2h 0m
EasyJet,U2 170,"Brussels, Belgium","Zurich, Switzerland",07:30,09:30,2h 0m
KLM,KL 193,"Brussels, Belgium","Zurich, Switzerland",09:45,11:45,2h 0m
Lufthansa,LH 216,"Brussels, Belgium","Berlin, Germany",20:00,00:00,4h 0m
EasyJet,U2 415,"Brussels, Belgium","Berlin, Germany",19:15,23:15,4h 0m
KLM,KL 636,"Brussels, Belgium","Berlin, Germany",07:00,11:00,4h 0m
KLM,KL 432,"Brussels, Belgium","Berlin, Germany",08:30,12:30,4h 0m
Lufthansa,LH 514,"Brussels, Belgium","Munich, Germany",16:45,19:45,3h 0m
Ryanair,FR 826,"Brussels, Belgium","Munich, Germany",20:15,23:15,3h 0m
Ryanair,FR 735,"Brussels, Belgium","Munich, Germany",13:15,16:15,3h 0m
British Airways,BA 836,"Brussels, Belgium","Munich, Germany",16:45,19:45,3h 0m
Ryanair,FR 593,"Brussels, Belgium","Paris, France",10:00,13:30,3h 30m
Ryanair,FR 903,"Brussels, Belgium","Paris, France",21:45,01:15,3h 30m
KLM,KL 395,"Brussels, Belgium","Paris, France",13:30,17:00,3h 30m
EasyJet,U2 887,"Brussels, Belgium","Paris, France",08:45,12:15,3h 30m
Ryanair,FR 794,"Brussels, Belgium","Istanbul, Turkey",10:45,14:15,3h 30m
Lufthansa,LH 932,"Brussels, Belgium","Istanbul, Turkey",06:15,09:45,3h 30m
KLM,KL 288,"Brussels, Belgium","Istanbul, Turkey",20:15,23:45,3h 30m
Lufthansa,LH 652,"Brussels, Belgium","Istanbul, Turkey",14:15,17:45,3h 30m
KLM,KL 247,"Brussels, Belgium","Athens, Greece",08:00,12:00,4h 0m
British Airways,BA 154,"Brussels, Belgium","Athens, Greece",12:15,16:15,4h 0m
British Airways,BA 129,"Brussels, Belgium","Athens, Greece",18:45,22:45,4h 0m
Lufthansa,LH 897,"Brussels, Belgium","Athens, Greece",11:30,15:30,4h 0m
KLM,KL 390,"Brussels, Belgium","Oslo, Norway",13:45,16:45,3h 0m
British Airways,BA 439,"Brussels, Belgium","Oslo, Norway",18:30,21:30,3h 0m
Lufthansa,LH 350,"Brussels, Belgium","Oslo, Norway",21:30,00:30,3h 0m
Ryanair,FR 374,"Brussels, Belgium","Oslo, Norway",17:30,20:30,3h 0m
KLM,KL 323,"Brussels, Belgium","Copenhagen, Denmark",19:45,23:45,4h 0m
KLM,KL 831,"Brussels, Belgium","Copenhagen, Denmark",18:30,22:30,4h 0m
British Airways,BA 606,"Brussels, Belgium","Copenhagen, Denmark",19:15,23:15,4h 0m
Lufthansa,LH 856,"Brussels, Belgium","Copenhagen, Denmark",07:45,11:45,4h 0m
KLM,KL 499,"Brussels, Belgium","Budapest, Hungary",21:30,00:30,3h 0m
KLM,KL 105,"Brussels, Belgium","Budapest, Hungary",17:00,20:00,3h 0m
Lufthansa,LH 259,"Brussels, Belgium","Budapest, Hungary",17:15,20:15,3h 0m
British Airways,BA 688,"Brussels, Belgium","Budapest, Hungary",16:30,19:30,3h 0m
KLM,KL 961,"Brussels, Belgium","Krakow, Poland",08:30,12:00,3h 30m
British Airways,BA 963,"Brussels, Belgium","Krakow, Poland",13:30,17:00,3h 30m
Lufthansa,LH 437,"Brussels, Belgium","Krakow, Poland",10:30,14:00,3h 30m
EasyJet,U2 554,"Brussels, Belgium","Krakow, Poland",11:00,14:30,3h 30m
British Airways,BA 231,"Brussels, Belgium","Vienna, Austria",10:00,14:00,4h 0m
EasyJet,U2 562,"Brussels, Belgium","Vienna, Austria",14:15,18:15,4h 0m
British Airways,BA 664,"Brussels, Belgium","Vienna, Austria",18:30,22:30,4h 0m
Lufthansa,LH 362,"Brussels, Belgium","Vienna, Austria",11:45,15:45,4h 0m
British Airways,BA 454,"Brussels, Belgium","Prague, Czech Republic",07:15,10:45,3h 30m
KLM,KL 768,"Brussels, Belgium","Prague, Czech Republic",12:45,16:15,3h 30m
Lufthansa,LH 478,"Brussels, Belgium","Prague, Czech Republic",18:00,21:30,3h 30m
Lufthansa,LH 309,"Brussels, Belgium","Prague, Czech Republic",10:15,13:45,3h 30m
British Airways,BA 449,"Bruges, Belgium","London, UK",20:45,21:45,1h 0m
Lufthansa,LH 175,"Bruges, Belgium","London, UK",18:00,19:00,1h 0m
KLM,KL 147,"Bruges, Belgium","London, UK",07:00,08:00,1h 0m
EasyJet,U2 519,"Bruges, Belgium","London, UK",07:00,08:00,1h 0m
EasyJet,U2 616,"Bruges, Belgium","Edinburgh, UK",12:15,13:15,1h 0m
KLM,KL 756,"Bruges, Belgium","Edinburgh, UK",16:00,17:00,1h 0m
KLM,KL 576,"Bruges, Belgium","Edinburgh, UK",07:15,08:15,1h 0m
KLM,KL 644,"Bruges, Belgium","Edinburgh, UK",22:15,23:15,1h 0m
Lufthansa,LH 488,"Bruges, Belgium","Dublin, Ireland",12:00,13:00,1h 0m
Lufthansa,LH 210,"Bruges, Belgium","Dublin, Ireland",08:45,09:45,1h 0m
KLM,KL 430,"Bruges, Belgium","Dublin, Ireland",10:45,11:45,1h 0m
Ryanair,FR 184,"Bruges, Belgium","Dublin, Ireland",19:45,20:45,1h 0m
British Airways,BA 353,"Bruges, Belgium","Brussels, Belgium",21:45,22:45,1h 0m
British Airways,BA 931,"Bruges, Belgium","Brussels, Belgium",21:15,22:15,1h 0m
British Airways,BA 703,"Bruges, Belgium","Brussels, Belgium",09:45,10:45,1h 0m
KLM,KL 895,"Bruges, Belgium","Brussels, Belgium",06:00,07:00,1h 0m
EasyJet,U2 622,"Bruges, Belgium","Amsterdam, Netherlands",11:15,12:15,1h 0m
KLM,KL 110,"Bruges, Belgium","Amsterdam, Netherlands",22:30,23:30,1h 0m
Lufthansa,LH 108,"Bruges, Belgium","Amsterdam, Netherlands",13:30,14:30,1h 0m
Ryanair,FR 248,"Bruges, Belgium","Amsterdam, Netherlands",14:15,15:15,1h 0m
KLM,KL 298,"Bruges, Belgium","Rome, Italy",22:15,00:15,2h 0m
Ryanair,FR 977,"Bruges, Belgium","Rome, Italy",15:00,17:00,2h 0m
Ryanair,FR 841,"Bruges, Belgium","Rome, Italy",22:00,00:00,2h 0m
EasyJet,U2 129,"Bruges, Belgium","Rome, Italy",13:45,15:45,2h 0m
KLM,KL 788,"Bruges, Belgium","Florence, Italy",11:45,13:45,2h 0m
KLM,KL 959,"Bruges, Belgium","Florence, Italy",12:45,14:45,2h 0m
KLM,KL 117,"Bruges, Belgium","Florence, Italy",07:00,09:00,2h 0m
British Airways,BA 408,"Bruges, Belgium","Florence, Italy",18:15,20:15,2h 0m
Ryanair,FR 977,"Bruges, Belgium","Venice, Italy",08:45,10:45,2h 0m
Ryanair,FR 121,"Bruges, Belgium","Venice, Italy",10:45,12:45,2h 0m
KLM,KL 499,"Bruges, Belgium","Venice, Italy",14:45,16:45,2h 0m
EasyJet,U2 919,"Bruges, Belgium","Venice, Italy",12:15,14:15,2h 0m
British Airways,BA 725,"Bruges, Belgium","Milan, Italy",12:45,14:45,2h 0m
Lufthansa,LH 511,"Bruges, Belgium","Milan, Italy",19:45,21:45,2h 0m
Ryanair,FR 804,"Bruges, Belgium","Milan, Italy",21:30,23:30,2h 0m
British Airways,BA 385,"Bruges, Belgium","Milan, Italy",09:15,11:15,2h 0m
KLM,KL 807,"Bruges, Belgium","Barcelona, Spain",21:30,23:30,2h 0m
Lufthansa,LH 756,"Bruges, Belgium","Barcelona, Spain",09:00,11:00,2h 0m
EasyJet,U2 824,"Bruges, Belgium","Barcelona, Spain",11:00,13:00,2h 0m
Ryanair,FR 230,"Bruges, Belgium","Barcelona, Spain",13:45,15:45,2h 0m
KLM,KL 738,"Bruges, Belgium","Madrid, Spain",15:15,17:15,2h 0m
KLM,KL 667,"Bruges, Belgium","Madrid, Spain",22:00,00:00,2h 0m
Ryanair,FR 632,"Bruges, Belgium","Madrid, Spain",06:30,08:30,2h 0m
Lufthansa,LH 430,"Bruges, Belgium","Madrid, Spain",14:45,16:45,2h 0m
Lufthansa,LH 976,"Bruges, Belgium","Lisbon, Portugal",19:15,21:15,2h 0m
KLM,KL 674,"Bruges, Belgium","Lisbon, Portugal",22:45,00:45,2h 0m
Ryanair,FR 312,"Bruges, Belgium","Lisbon, Portugal",20:30,22:30,2h 0m
KLM,KL 522,"Bruges, Belgium","Lisbon, Portugal",14:00,16:00,2h 0m
Ryanair,FR 231,"Bruges, Belgium","Zurich, Switzerland",11:45,13:45,2h 0m
KLM,KL 486,"Bruges, Belgium","Zurich, Switzerland",20:45,22:45,2h 0m
EasyJet,U2 866,"Bruges, Belgium","Zurich, Switzerland",16:45,18:45,2h 0m
EasyJet,U2 644,"Bruges, Belgium","Zurich, Switzerland",06:15,08:15,2h 0m
Lufthansa,LH 380,"Bruges, Belgium","Berlin, Germany",18:15,22:15,4h 0m
KLM,KL 464,"Bruges, Belgium","Berlin, Germany",14:00,18:00,4h 0m
KLM,KL 882,"Bruges, Belgium","Berlin, Germany",19:45,23:45,4h 0m
KLM,KL 843,"Bruges, Belgium","Berlin, Germany",09:00,13:00,4h 0m
Lufthansa,LH 221,"Bruges, Belgium","Munich, Germany",06:15,10:15,4h 0m
EasyJet,U2 122,"Bruges, Belgium","Munich, Germany",13:45,17:45,4h 0m
Lufthansa,LH 393,"Bruges, Belgium","Munich, Germany",11:00,15:00,4h 0m
Ryanair,FR 862,"Bruges, Belgium","Munich, Germany",12:45,16:45,4h 0m
EasyJet,U2 170,"Bruges, Belgium","Paris, France",06:30,09:30,3h 0m
EasyJet,U2 926,"Bruges, Belgium","Paris, France",08:15,11:15,3h 0m
KLM,KL 465,"Bruges, Belgium","Paris, France",13:15,16:15,3h 0m
EasyJet,U2 833,"Bruges, Belgium","Paris, France",16:30,19:30,3h 0m
KLM,KL 906,"Bruges, Belgium","Istanbul, Turkey",09:30,12:30,3h 0m
EasyJet,U2 846,"Bruges, Belgium","Istanbul, Turkey",20:45,23:45,3h 0m
Ryanair,FR 977,"Bruges, Belgium","Istanbul, Turkey",12:15,15:15,3h 0m
British Airways,BA 627,"Bruges, Belgium","Istanbul, Turkey",11:15,14:15,3h 0m
British Airways,BA 697,"Bruges, Belgium","Athens, Greece",18:30,22:00,3h 30m
KLM,KL 987,"Bruges, Belgium","Athens, Greece",14:45,18:15,3h 30m
Lufthansa,LH 363,"Bruges, Belgium","Athens, Greece",06:15,09:45,3h 30m
British Airways,BA 223,"Bruges, Belgium","Athens, Greece",16:00,19:30,3h 30m
Lufthansa,LH 536,"Bruges, Belgium","Oslo, Norway",19:45,23:45,4h 0m
Lufthansa,LH 130,"Bruges, Belgium","Oslo, Norway",07:15,11:15,4h 0m
KLM,KL 712,"Bruges, Belgium","Oslo, Norway",15:45,19:45,4h 0m
British Airways,BA 789,"Bruges, Belgium","Oslo, Norway",17:30,21:30,4h 0m
EasyJet,U2 378,"Bruges, Belgium","Copenhagen, Denmark",08:15,12:15,4h 0m
Lufthansa,LH 365,"Bruges, Belgium","Copenhagen, Denmark",19:45,23:45,4h 0m
Ryanair,FR 473,"Bruges, Belgium","Copenhagen, Denmark",08:45,12:45,4h 0m
KLM,KL 817,"Bruges, Belgium","Copenhagen, Denmark",16:45,20:45,4h 0m
British Airways,BA 184,"Bruges, Belgium","Budapest, Hungary",16:30,20:30,4h 0m
Lufthansa,LH 923,"Bruges, Belgium","Budapest, Hungary",09:15,13:15,4h 0m
British Airways,BA 716,"Bruges, Belgium","Budapest, Hungary",10:15,14:15,4h 0m
British Airways,BA 404,"Bruges, Belgium","Budapest, Hungary",17:30,21:30,4h 0m
British Airways,BA 443,"Bruges, Belgium","Krakow, Poland",12:15,16:15,4h 0m
KLM,KL 798,"Bruges, Belgium","Krakow, Poland",18:15,22:15,4h 0m
British Airways,BA 189,"Bruges, Belgium","Krakow, Poland",20:30,00:30,4h 0m
EasyJet,U2 975,"Bruges, Belgium","Krakow, Poland",13:45,17:45,4h 0m
KLM,KL 236,"Bruges, Belgium","Vienna, Austria",21:00,01:00,4h 0m
Ryanair,FR 138,"Bruges, Belgium","Vienna, Austria",09:15,13:15,4h 0m
Lufthansa,LH 856,"Bruges, Belgium","Vienna, Austria",07:00,11:00,4h 0m
Ryanair,FR 829,"Bruges, Belgium","Vienna, Austria",16:30,20:30,4h 0m
KLM,KL 152,"Bruges, Belgium","Prague, Czech Republic",15:00,18:00,3h 0m
Lufthansa,LH 384,"Bruges, Belgium","Prague, Czech Republic",20:15,23:15,3h 0m
Lufthansa,LH 977,"Bruges, Belgium","Prague, Czech Republic",07:15,10:15,3h 0m
KLM,KL 607,"Bruges, Belgium","Prague, Czech Republic",09:15,12:15,3h 0m
Lufthansa,LH 460,"Amsterdam, Netherlands","London, UK",14:00,15:00,1h 0m
EasyJet,U2 314,"Amsterdam, Netherlands","London, UK",08:45,09:45,1h 0m
KLM,KL 107,"Amsterdam, Netherlands","London, UK",07:00,08:00,1h 0m
KLM,KL 364,"Amsterdam, Netherlands","London, UK",17:30,18:30,1h 0m
KLM,KL 209,"Amsterdam, Netherlands","Edinburgh, UK",22:45,23:45,1h 0m
Ryanair,FR 443,"Amsterdam, Netherlands","Edinburgh, UK",22:15,23:15,1h 0m
EasyJet,U2 578,"Amsterdam, Netherlands","Edinburgh, UK",08:45,09:45,1h 0m
British Airways,BA 397,"Amsterdam, Netherlands","Edinburgh, UK",16:15,17:15,1h 0m
KLM,KL 674,"Amsterdam, Netherlands","Dublin, Ireland",21:00,22:00,1h 0m
EasyJet,U2 954,"Amsterdam, Netherlands","Dublin, Ireland",10:00,11:00,1h 0m
KLM,KL 350,"Amsterdam, Netherlands","Dublin, Ireland",21:45,22:45,1h 0m
British Airways,BA 807,"Amsterdam, Netherlands","Dublin, Ireland",21:15,22:15,1h 0m
EasyJet,U2 203,"Amsterdam, Netherlands","Brussels, Belgium",19:45,21:15,1h 30m
KLM,KL 717,"Amsterdam, Netherlands","Brussels, Belgium",08:30,10:00,1h 30m
British Airways,BA 417,"Amsterdam, Netherlands","Brussels, Belgium",10:15,11:45,1h 30m
KLM,KL 573,"Amsterdam, Netherlands","Brussels, Belgium",10:00,11:30,1h 30m
EasyJet,U2 925,"Amsterdam, Netherlands","Bruges, Belgium",17:00,18:00,1h 0m
British Airways,BA 396,"Amsterdam, Netherlands","Bruges, Belgium",10:15,11:15,1h 0m
British Airways,BA 938,"Amsterdam, Netherlands","Bruges, Belgium",14:00,15:00,1h 0m
EasyJet,U2 115,"Amsterdam, Netherlands","Bruges, Belgium",07:30,08:30,1h 0m
Lufthansa,LH 551,"Amsterdam, Netherlands","Rome, Italy",16:45,18:45,2h 0m
Lufthansa,LH 653,"Amsterdam, Netherlands","Rome, Italy",10:15,12:15,2h 0m
EasyJet,U2 854,"Amsterdam, Netherlands","Rome, Italy",07:30,09:30,2h 0m
EasyJet,U2 165,"Amsterdam, Netherlands","Rome, Italy",22:30,00:30,2h 0m
KLM,KL 741,"Amsterdam, Netherlands","Florence, Italy",09:45,11:45,2h 0m
British Airways,BA 763,"Amsterdam, Netherlands","Florence, Italy",12:15,14:15,2h 0m
EasyJet,U2 584,"Amsterdam, Netherlands","Florence, Italy",22:00,00:00,2h 0m
British Airways,BA 942,"Amsterdam, Netherlands","Florence, Italy",16:15,18:15,2h 0m
KLM,KL 941,"Amsterdam, Netherlands","Venice, Italy",20:15,22:15,2h 0m
EasyJet,U2 586,"Amsterdam, Netherlands","Venice, Italy",20:45,22:45,2h 0m
Ryanair,FR 278,"Amsterdam, Netherlands","Venice, Italy",20:30,22:30,2h 0m
British Airways,BA 484,"Amsterdam, Netherlands","Venice, Italy",19:15,21:15,2h 0m
British Airways,BA 275,"Amsterdam, Netherlands","Milan, Italy",11:00,13:00,2h 0m
Ryanair,FR 406,"Amsterdam, Netherlands","Milan, Italy",15:45,17:45,2h 0m
British Airways,BA 337,"Amsterdam, Netherlands","Milan, Italy",20:45,22:45,2h 0m
EasyJet,U2 319,"Amsterdam, Netherlands","Milan, Italy",07:00,09:00,2h 0m
Ryanair,FR 220,"Amsterdam, Netherlands","Barcelona, Spain",06:30,08:30,2h 0m
KLM,KL 860,"Amsterdam, Netherlands","Barcelona, Spain",15:45,17:45,2h 0m
EasyJet,U2 204,"Amsterdam, Netherlands","Barcelona, Spain",20:00,22:00,2h 0m
EasyJet,U2 636,"Amsterdam, Netherlands","Barcelona, Spain",15:45,17:45,2h 0m
KLM,KL 440,"Amsterdam, Netherlands","Madrid, Spain",16:15,18:15,2h 0m
EasyJet,U2 779,"Amsterdam, Netherlands","Madrid, Spain",20:45,22:45,2h 0m
Ryanair,FR 581,"Amsterdam, Netherlands","Madrid, Spain",20:15,22:15,2h 0m
Ryanair,FR 392,"Amsterdam, Netherlands","Madrid, Spain",13:30,15:30,2h 0m
British Airways,BA 816,"Amsterdam, Netherlands","Lisbon, Portugal",21:00,23:00,2h 0m
Ryanair,FR 618,"Amsterdam, Netherlands","Lisbon, Portugal",22:45,00:45,2h 0m
Lufthansa,LH 446,"Amsterdam, Netherlands","Lisbon, Portugal",19:15,21:15,2h 0m
Lufthansa,LH 311,"Amsterdam, Netherlands","Lisbon, Portugal",13:15,15:15,2h 0m
EasyJet,U2 953,"Amsterdam, Netherlands","Zurich, Switzerland",09:45,11:45,2h 0m
Ryanair,FR 781,"Amsterdam, Netherlands","Zurich, Switzerland",18:00,20:00,2h 0m
Ryanair,FR 443,"Amsterdam, Netherlands","Zurich, Switzerland",07:15,09:15,2h 0m
British Airways,BA 194,"Amsterdam, Netherlands","Zurich, Switzerland",06:00,08:00,2h 0m
Ryanair,FR 494,"Amsterdam, Netherlands","Berlin, Germany",22:15,01:15,3h 0m
British Airways,BA 182,"Amsterdam, Netherlands","Berlin, Germany",12:45,15:45,3h 0m
Ryanair,FR 703,"Amsterdam, Netherlands","Berlin, Germany",21:15,00:15,3h 0m
Ryanair,FR 993,"Amsterdam, Netherlands","Berlin, Germany",21:15,00:15,3h 0m
British Airways,BA 432,"Amsterdam, Netherlands","Munich, Germany",07:00,11:00,4h 0m
Lufthansa,LH 643,"Amsterdam, Netherlands","Munich, Germany",09:45,13:45,4h 0m
EasyJet,U2 575,"Amsterdam, Netherlands","Munich, Germany",18:15,22:15,4h 0m
Ryanair,FR 331,"Amsterdam, Netherlands","Munich, Germany",15:30,19:30,4h 0m
Ryanair,FR 319,"Amsterdam, Netherlands","Paris, France",21:00,01:00,4h 0m
KLM,KL 711,"Amsterdam, Netherlands","Paris, France",10:00,14:00,4h 0m
KLM,KL 609,"Amsterdam, Netherlands","Paris, France",15:00,19:00,4h 0m
KLM,KL 899,"Amsterdam, Netherlands","Paris, France",08:15,12:15,4h 0m
British Airways,BA 220,"Amsterdam, Netherlands","Istanbul, Turkey",07:00,11:00,4h 0m
KLM,KL 168,"Amsterdam, Netherlands","Istanbul, Turkey",09:15,13:15,4h 0m
Ryanair,FR 557,"Amsterdam, Netherlands","Istanbul, Turkey",21:00,01:00,4h 0m
Lufthansa,LH 121,"Amsterdam, Netherlands","Istanbul, Turkey",09:00,13:00,4h 0m
KLM,KL 138,"Amsterdam, Netherlands","Athens, Greece",06:45,09:45,3h 0m
Lufthansa,LH 933,"Amsterdam, Netherlands","Athens, Greece",16:30,19:30,3h 0m
KLM,KL 276,"Amsterdam, Netherlands","Athens, Greece",09:15,12:15,3h 0m
Ryanair,FR 600,"Amsterdam, Netherlands","Athens, Greece",17:30,20:30,3h 0m
KLM,KL 193,"Amsterdam, Netherlands","Oslo, Norway",16:00,19:00,3h 0m
British Airways,BA 391,"Amsterdam, Netherlands","Oslo, Norway",13:15,16:15,3h 0m
Lufthansa,LH 538,"Amsterdam, Netherlands","Oslo, Norway",12:45,15:45,3h 0m
KLM,KL 524,"Amsterdam, Netherlands","Oslo, Norway",07:00,10:00,3h 0m
Lufthansa,LH 356,"Amsterdam, Netherlands","Copenhagen, Denmark",20:45,23:45,3h 0m
Ryanair,FR 612,"Amsterdam, Netherlands","Copenhagen, Denmark",09:45,12:45,3h 0m
EasyJet,U2 668,"Amsterdam, Netherlands","Copenhagen, Denmark",10:15,13:15,3h 0m
British Airways,BA 156,"Amsterdam, Netherlands","Copenhagen, Denmark",19:00,22:00,3h 0m
Ryanair,FR 675,"Amsterdam, Netherlands","Budapest, Hungary",09:45,12:45,3h 0m
KLM,KL 921,"Amsterdam, Netherlands","Budapest, Hungary",18:30,21:30,3h 0m
Ryanair,FR 156,"Amsterdam, Netherlands","Budapest, Hungary",22:15,01:15,3h 0m
British Airways,BA 332,"Amsterdam, Netherlands","Budapest, Hungary",20:00,23:00,3h 0m
British Airways,BA 607,"Amsterdam, Netherlands","Krakow, Poland",09:00,13:00,4h 0m
EasyJet,U2 687,"Amsterdam, Netherlands","Krakow, Poland",22:15,02:15,4h 0m
EasyJet,U2 881,"Amsterdam, Netherlands","Krakow, Poland",17:45,21:45,4h 0m
KLM,KL 395,"Amsterdam, Netherlands","Krakow, Poland",21:00,01:00,4h 0m
EasyJet,U2 617,"Amsterdam, Netherlands","Vienna, Austria",06:00,09:00,3h 0m
British Airways,BA 197,"Amsterdam, Netherlands","Vienna, Austria",16:00,19:00,3h 0m
EasyJet,U2 509,"Amsterdam, Netherlands","Vienna, Austria",15:45,18:45,3h 0m
Ryanair,FR 215,"Amsterdam, Netherlands","Vienna, Austria",11:00,14:00,3h 0m
KLM,KL 748,"Amsterdam, Netherlands","Prague, Czech Republic",20:15,23:45,3h 30m
KLM,KL 926,"Amsterdam, Netherlands","Prague, Czech Republic",17:30,21:00,3h 30m
British Airways,BA 649,"Amsterdam, Netherlands","Prague, Czech Republic",16:45,20:15,3h 30m
Ryanair,FR 495,"Amsterdam, Netherlands","Prague, Czech Republic",06:15,09:45,3h 30m
British Airways,BA 426,"Rome, Italy","London, UK",22:15,23:45,1h 30m
EasyJet,U2 179,"Rome, Italy","London, UK",19:15,20:45,1h 30m
KLM,KL 652,"Rome, Italy","London, UK",14:15,15:45,1h 30m
EasyJet,U2 364,"Rome, Italy","London, UK",13:15,14:45,1h 30m
KLM,KL 961,"Rome, Italy","Edinburgh, UK",08:30,10:30,2h 0m
British Airways,BA 478,"Rome, Italy","Edinburgh, UK",15:30,17:30,2h 0m
EasyJet,U2 448,"Rome, Italy","Edinburgh, UK",21:15,23:15,2h 0m
EasyJet,U2 758,"Rome, Italy","Edinburgh, UK",19:15,21:15,2h 0m
Lufthansa,LH 275,"Rome, Italy","Dublin, Ireland",20:45,22:45,2h 0m
British Airways,BA 677,"Rome, Italy","Dublin, Ireland",12:30,14:30,2h 0m
EasyJet,U2 726,"Rome, Italy","Dublin, Ireland",08:30,10:30,2h 0m
EasyJet,U2 186,"Rome, Italy","Dublin, Ireland",10:00,12:00,2h 0m
Ryanair,FR 309,"Rome, Italy","Brussels, Belgium",08:45,10:45,2h 0m
Lufthansa,LH 434,"Rome, Italy","Brussels, Belgium",09:45,11:45,2h 0m
Ryanair,FR 171,"Rome, Italy","Brussels, Belgium",22:00,00:00,2h 0m
British Airways,BA 608,"Rome, Italy","Brussels, Belgium",08:30,10:30,2h 0m
Lufthansa,LH 280,"Rome, Italy","Bruges, Belgium",16:30,18:30,2h 0m
British Airways,BA 513,"Rome, Italy","Bruges, Belgium",20:45,22:45,2h 0m
KLM,KL 646,"Rome, Italy","Bruges, Belgium",20:00,22:00,2h 0m
Ryanair,FR 515,"Rome, Italy","Bruges, Belgium",21:45,23:45,2h 0m
Ryanair,FR 604,"Rome, Italy","Amsterdam, Netherlands",18:15,20:15,2h 0m
British Airways,BA 163,"Rome, Italy","Amsterdam, Netherlands",20:00,22:00,2h 0m
KLM,KL 591,"Rome, Italy","Amsterdam, Netherlands",17:45,19:45,2h 0m
KLM,KL 182,"Rome, Italy","Amsterdam, Netherlands",15:30,17:30,2h 0m
British Airways,BA 592,"Rome, Italy","Florence, Italy",06:00,07:15,1h 15m
Lufthansa,LH 284,"Rome, Italy","Florence, Italy",06:45,08:00,1h 15m
Ryanair,FR 901,"Rome, Italy","Florence, Italy",06:45,08:00,1h 15m
Ryanair,FR 267,"Rome, Italy","Florence, Italy",06:00,07:15,1h 15m
Ryanair,FR 103,"Rome, Italy","Venice, Italy",22:30,00:00,1h 30m
KLM,KL 990,"Rome, Italy","Venice, Italy",22:00,23:30,1h 30m
Lufthansa,LH 635,"Rome, Italy","Venice, Italy",13:45,15:15,1h 30m
KLM,KL 320,"Rome, Italy","Venice, Italy",20:15,21:45,1h 30m
Lufthansa,LH 191,"Rome, Italy","Milan, Italy",12:00,13:15,1h 15m
British Airways,BA 717,"Rome, Italy","Milan, Italy",07:15,08:30,1h 15m
Ryanair,FR 270,"Rome, Italy","Milan, Italy",20:45,22:00,1h 15m
British Airways,BA 430,"Rome, Italy","Milan, Italy",12:30,13:45,1h 15m
EasyJet,U2 425,"Rome, Italy","Barcelona, Spain",12:00,13:30,1h 30m
Ryanair,FR 973,"Rome, Italy","Barcelona, Spain",16:00,17:30,1h 30m
KLM,KL 647,"Rome, Italy","Barcelona, Spain",12:15,13:45,1h 30m
KLM,KL 626,"Rome, Italy","Barcelona, Spain",09:00,10:30,1h 30m
Lufthansa,LH 885,"Rome, Italy","Madrid, Spain",12:30,13:45,1h 15m
EasyJet,U2 606,"Rome, Italy","Madrid, Spain",21:15,22:30,1h 15m
Ryanair,FR 398,"Rome, Italy","Madrid, Spain",18:15,19:30,1h 15m
Ryanair,FR 557,"Rome, Italy","Madrid, Spain",14:30,15:45,1h 15m
Lufthansa,LH 297,"Rome, Italy","Lisbon, Portugal",06:30,07:30,1h 0m
Ryanair,FR 884,"Rome, Italy","Lisbon, Portugal",08:30,09:30,1h 0m
KLM,KL 932,"Rome, Italy","Lisbon, Portugal",19:45,20:45,1h 0m
British Airways,BA 428,"Rome, Italy","Lisbon, Portugal",12:30,13:30,1h 0m
Lufthansa,LH 697,"Rome, Italy","Zurich, Switzerland",20:45,22:00,1h 15m
British Airways,BA 985,"Rome, Italy","Zurich, Switzerland",22:00,23:15,1h 15m
Ryanair,FR 519,"Rome, Italy","Zurich, Switzerland",13:30,14:45,1h 15m
